date,pm10,pm25,co,no2,so2,o3,aqi
2024-01-01,136.49583333333334,89.84166666666665,771.0,18.2125,35.34166666666667,83.625,110.625
2024-01-02,121.41666666666667,80.01666666666667,717.625,16.108333333333334,31.929166666666664,85.66666666666667,107.83333333333333
2024-01-03,108.53750000000001,70.98333333333333,591.7916666666666,15.145833333333334,39.35,87.0,102.58333333333333
2024-01-04,112.88333333333333,73.85833333333333,645.0416666666666,14.549999999999999,36.97083333333333,82.29166666666667,95.125
2024-01-05,118.11666666666667,77.14166666666667,665.625,15.945833333333333,38.458333333333336,88.66666666666667,101.0
2024-01-06,111.49583333333334,73.42916666666666,551.1666666666666,13.245833333333332,31.870833333333334,80.66666666666667,100.70833333333333
2024-01-07,88.63333333333333,57.979166666666664,497.75,9.020833333333334,19.320833333333333,77.83333333333333,94.29166666666667
2024-01-08,91.28333333333335,59.55833333333334,579.875,15.299999999999999,38.9625,90.41666666666667,85.33333333333333
2024-01-09,87.325,58.01666666666667,696.9166666666666,17.1375,32.6,91.20833333333333,87.20833333333333
2024-01-10,59.4625,39.42916666666667,476.5416666666667,19.104166666666668,34.083333333333336,71.20833333333333,81.08333333333333
2024-01-11,57.229166666666664,38.47083333333333,440.5833333333333,15.549999999999999,27.233333333333334,69.79166666666667,69.83333333333333
2024-01-12,58.175000000000004,39.30833333333333,507.8333333333333,17.162499999999998,30.354166666666668,89.70833333333333,70.20833333333333
2024-01-13,46.975,31.474999999999998,424.6666666666667,15.708333333333334,22.53333333333333,78.33333333333333,67.83333333333333
2024-01-14,50.800000000000004,33.975,407.625,13.916666666666666,20.129166666666666,75.29166666666667,66.54166666666667
2024-01-15,44.96666666666667,30.34166666666667,382.9583333333333,14.258333333333333,26.204166666666666,85.625,65.45833333333333
2024-01-16,57.67916666666667,39.108333333333334,512.25,23.508333333333336,28.516666666666666,70.16666666666667,66.625
2024-01-17,88.90833333333335,59.520833333333336,553.9166666666666,19.491666666666667,28.40416666666667,85.16666666666667,78.45833333333333
2024-01-18,83.67083333333333,53.86666666666667,418.7083333333333,10.1875,27.520833333333332,96.25,89.125
2024-01-19,79.21249999999999,51.71666666666667,463.0,8.829166666666667,22.370833333333334,96.66666666666667,81.70833333333333
2024-01-20,89.30416666666667,59.7125,539.0416666666666,13.041666666666666,31.083333333333332,80.79166666666667,83.375
2024-01-21,98.425,64.65833333333333,569.5,17.041666666666668,37.62083333333333,90.58333333333333,90.54166666666667
2024-01-22,96.6125,62.60833333333333,515.0416666666666,10.75,39.454166666666666,97.16666666666667,88.5
2024-01-23,97.87916666666666,64.3875,434.2083333333333,11.033333333333333,27.395833333333332,85.04166666666667,93.875
2024-01-24,59.041666666666664,37.608333333333334,412.1666666666667,11.200000000000001,26.583333333333332,99.04166666666667,84.08333333333333
2024-01-25,75.16250000000001,48.05416666666667,481.0416666666667,16.929166666666667,33.12083333333333,82.33333333333333,66.875
2024-01-26,83.90416666666667,53.85,529.875,20.145833333333332,43.30416666666667,82.33333333333333,82.08333333333333
2024-01-27,68.69583333333334,43.833333333333336,464.7083333333333,22.3625,33.85,75.5,79.0
2024-01-28,73.83333333333333,47.37916666666666,559.75,26.620833333333334,34.36666666666667,71.25,75.20833333333333
2024-01-29,85.95833333333333,55.199999999999996,543.5833333333334,16.904166666666665,28.270833333333332,96.29166666666667,83.83333333333333
2024-01-30,85.35000000000001,55.15833333333333,507.1666666666667,18.837500000000002,25.741666666666664,80.83333333333333,82.70833333333333
2024-01-31,90.99166666666667,58.79583333333333,570.1666666666666,18.1125,22.7375,75.83333333333333,83.95833333333333
2024-02-01,92.90416666666665,60.512499999999996,594.9583333333334,19.683333333333334,26.570833333333336,86.25,95.125
2024-02-02,51.71666666666667,33.525,417.1666666666667,13.620833333333332,18.6375,81.25,74.33333333333333
2024-02-03,60.38333333333333,38.137499999999996,488.1666666666667,19.433333333333334,24.633333333333336,72.125,67.79166666666667
2024-02-04,57.88333333333333,35.4,550.25,24.837500000000002,29.508333333333336,66.66666666666667,67.83333333333333
2024-02-05,66.99583333333334,41.204166666666666,475.375,12.733333333333334,17.520833333333332,90.5,74.29166666666667
2024-02-06,55.26666666666667,30.629166666666666,337.2916666666667,11.083333333333334,16.141666666666666,71.66666666666667,67.25
2024-02-07,60.449999999999996,35.425000000000004,319.2083333333333,13.025,21.5125,73.83333333333333,67.08333333333333
2024-02-08,45.19583333333333,24.34583333333333,275.0416666666667,8.433333333333334,14.020833333333334,87.58333333333333,64.45833333333333
2024-02-09,33.262499999999996,20.474999999999998,307.5416666666667,10.691666666666668,17.791666666666668,84.5,48.25
2024-02-10,96.07916666666667,60.2875,437.5416666666667,12.241666666666667,28.066666666666666,92.0,66.375
2024-02-11,88.69583333333333,57.762499999999996,374.5416666666667,6.7749999999999995,18.170833333333334,105.25,90.25
2024-02-12,82.64583333333333,53.1625,412.2083333333333,11.179166666666667,25.40416666666667,91.08333333333333,84.95833333333333
2024-02-13,46.800000000000004,30.15833333333333,361.875,12.445833333333333,17.716666666666665,65.91666666666667,73.375
2024-02-14,67.91666666666667,43.12916666666666,401.3333333333333,12.533333333333333,17.954166666666666,85.91666666666667,66.625
2024-02-15,90.17916666666667,57.9625,340.9166666666667,7.8374999999999995,16.383333333333333,90.70833333333333,83.875
2024-02-16,89.10416666666667,56.979166666666664,503.5416666666667,17.645833333333332,28.3125,86.08333333333333,83.33333333333333
2024-02-17,73.88333333333334,47.925000000000004,524.625,19.5125,23.3,80.16666666666667,82.95833333333333
2024-02-18,63.300000000000004,42.5625,568.875,20.995833333333334,21.52916666666667,81.33333333333333,75.95833333333333
2024-02-19,40.475,27.65833333333333,435.1666666666667,13.333333333333334,15.125,79.45833333333333,68.45833333333333
2024-02-20,42.225,28.933333333333334,428.2083333333333,13.799999999999999,19.925,91.75,65.16666666666667
2024-02-21,22.545833333333334,14.508333333333333,268.6666666666667,7.791666666666667,12.608333333333334,77.79166666666667,44.375
2024-02-22,40.891666666666666,20.1125,240.08333333333334,7.241666666666667,10.870833333333332,87.125,42.541666666666664
2024-02-23,68.28333333333333,36.25,377.8333333333333,15.475000000000001,20.016666666666666,83.375,58.5
2024-02-24,53.041666666666664,30.170833333333334,315.9583333333333,8.229166666666666,18.791666666666668,103.79166666666667,67.83333333333333
2024-02-25,100.69583333333333,62.333333333333336,368.25,7.370833333333334,24.170833333333334,113.875,73.95833333333333
2024-02-26,92.69166666666666,60.24583333333334,391.2083333333333,9.262500000000001,23.27916666666667,86.79166666666667,93.54166666666667
2024-02-27,65.75833333333334,43.9625,361.1666666666667,9.795833333333333,18.595833333333335,94.75,81.41666666666667
2024-02-28,57.520833333333336,37.583333333333336,388.0416666666667,13.241666666666667,21.962500000000002,84.375,70.70833333333333
2024-02-29,60.612500000000004,33.7875,412.0,14.950000000000001,19.662499999999998,86.95833333333333,68.41666666666667
2024-03-01,60.237500000000004,30.09166666666667,443.2083333333333,18.787499999999998,22.5,70.16666666666667,65.16666666666667
2024-03-02,66.08333333333333,37.4375,351.4583333333333,12.541666666666666,17.404166666666665,76.16666666666667,66.25
2024-03-03,39.06666666666667,24.929166666666664,276.6666666666667,6.8875,13.204166666666666,87.5,68.29166666666667
2024-03-04,31.579166666666666,16.729166666666668,257.125,9.995833333333334,20.4875,86.91666666666667,46.583333333333336
2024-03-05,32.87916666666667,20.541666666666668,295.25,10.854166666666666,20.95416666666667,100.5,44.916666666666664
2024-03-06,36.36666666666667,23.479166666666668,294.625,7.195833333333333,17.766666666666666,109.625,52.333333333333336
2024-03-07,28.133333333333336,17.754166666666666,261.6666666666667,8.016666666666667,18.0125,102.5,50.041666666666664
2024-03-08,35.449999999999996,21.329166666666666,318.0416666666667,9.6875,17.429166666666667,108.58333333333333,50.333333333333336
2024-03-09,40.09166666666667,24.145833333333332,329.7916666666667,10.779166666666667,19.099999999999998,102.08333333333333,54.458333333333336
2024-03-10,46.270833333333336,27.97083333333333,325.625,8.029166666666667,19.0125,113.79166666666667,63.125
2024-03-11,36.25833333333333,22.316666666666666,350.5,9.620833333333334,16.8,102.625,61.041666666666664
2024-03-12,33.69583333333333,18.875,272.125,7.8374999999999995,16.470833333333335,96.5,47.875
2024-03-13,23.429166666666664,13.495833333333332,228.54166666666666,7.854166666666667,15.379166666666668,86.875,39.166666666666664
2024-03-14,37.395833333333336,17.712500000000002,256.0416666666667,7.820833333333333,13.195833333333333,89.375,42.583333333333336
2024-03-15,40.09583333333333,21.6125,259.3333333333333,6.395833333333333,12.6,107.75,49.458333333333336
2024-03-16,72.33333333333333,44.57916666666667,353.125,9.129166666666666,20.0125,112.20833333333333,63.625
2024-03-17,83.13333333333334,50.28333333333333,344.3333333333333,8.129166666666666,22.0625,118.79166666666667,80.58333333333333
2024-03-18,77.75416666666666,48.01666666666667,316.2083333333333,6.620833333333334,17.7375,121.5,78.95833333333333
2024-03-19,90.12083333333334,57.20416666666667,363.5,8.183333333333334,23.183333333333334,112.33333333333333,82.29166666666667
2024-03-20,52.0875,32.895833333333336,345.25,10.870833333333332,20.150000000000002,100.875,78.04166666666667
2024-03-21,45.975,29.508333333333336,407.7916666666667,11.258333333333333,17.55,109.45833333333333,65.95833333333333
2024-03-22,42.6,26.78333333333333,413.2916666666667,12.516666666666666,20.145833333333332,108.625,65.91666666666667
2024-03-23,41.729166666666664,26.129166666666666,438.0,14.375,20.32916666666667,105.04166666666667,63.25
2024-03-24,50.21666666666667,32.53333333333333,501.75,15.366666666666667,22.7375,105.91666666666667,64.79166666666667
2024-03-25,47.387499999999996,29.745833333333334,359.2083333333333,8.220833333333333,13.966666666666667,103.375,67.29166666666667
2024-03-26,50.50416666666666,31.462500000000002,403.9583333333333,10.025,16.0625,106.95833333333333,64.70833333333333
2024-03-27,57.94166666666666,36.36666666666667,431.75,11.129166666666668,18.370833333333334,106.91666666666667,66.66666666666667
2024-03-28,55.27916666666667,34.3125,390.875,8.908333333333333,14.475,111.58333333333333,69.54166666666667
2024-03-29,68.84583333333333,41.666666666666664,407.6666666666667,9.549999999999999,16.808333333333334,116.875,69.83333333333333
2024-03-30,81.7625,49.229166666666664,364.25,8.9625,17.470833333333335,117.29166666666667,75.58333333333333
2024-03-31,97.47500000000001,59.54583333333333,438.4166666666667,11.549999999999999,19.712500000000002,114.79166666666667,84.375
2024-04-01,49.30416666666667,30.287499999999998,318.4166666666667,7.6499999999999995,14.058333333333332,110.08333333333333,77.41666666666667
2024-04-02,36.958333333333336,22.933333333333334,275.0,6.9375,13.275,111.375,61.291666666666664
2024-04-03,55.5625,34.425000000000004,446.125,17.195833333333333,21.954166666666666,91.95833333333333,59.25
2024-04-04,35.4625,21.8125,273.0416666666667,6.983333333333333,12.825000000000001,111.54166666666667,65.0
2024-04-05,28.666666666666668,16.3125,234.70833333333334,6.0874999999999995,10.879166666666668,97.79166666666667,45.166666666666664
2024-04-06,39.141666666666666,21.833333333333332,217.20833333333334,5.479166666666667,10.858333333333334,108.58333333333333,47.5
2024-04-07,64.52916666666667,38.65416666666667,281.8333333333333,5.245833333333334,12.016666666666666,118.45833333333333,61.625
2024-04-08,104.47500000000001,64.03750000000001,337.4583333333333,6.508333333333333,19.983333333333334,129.29166666666666,84.04166666666667
2024-04-09,77.0625,48.050000000000004,343.5416666666667,6.616666666666667,18.95,127.375,86.375
2024-04-10,71.4375,45.0875,338.7083333333333,6.783333333333334,15.858333333333334,119.375,75.79166666666667
2024-04-11,66.89583333333333,43.07916666666667,375.0,11.204166666666666,17.154166666666665,100.20833333333333,74.375
2024-04-12,83.6375,53.59583333333333,413.3333333333333,13.029166666666667,18.620833333333334,85.375,79.54166666666667
2024-04-13,65.82916666666667,42.395833333333336,355.625,9.458333333333334,22.241666666666664,107.08333333333333,79.29166666666667
2024-04-14,62.52916666666667,41.35,473.0,15.862499999999999,26.041666666666668,107.875,71.41666666666667
2024-04-15,60.42083333333333,38.8125,388.125,9.641666666666667,21.308333333333334,121.45833333333333,74.20833333333333
2024-04-16,53.425000000000004,30.170833333333334,404.6666666666667,13.958333333333334,16.8125,88.45833333333333,66.16666666666667
2024-04-17,44.79583333333333,25.537499999999998,434.0,15.762500000000001,17.666666666666668,83.66666666666667,62.291666666666664
2024-04-18,52.90833333333333,29.75,437.9166666666667,14.791666666666666,21.983333333333334,105.79166666666667,64.0
2024-04-19,46.55833333333334,28.808333333333334,415.9166666666667,14.483333333333334,23.866666666666664,111.04166666666667,66.875
2024-04-20,51.48333333333333,31.787499999999998,393.375,9.508333333333333,13.683333333333332,104.95833333333333,63.625
2024-04-21,37.958333333333336,23.258333333333336,272.7916666666667,7.425,11.7875,104.04166666666667,63.25
2024-04-22,69.75416666666666,43.77916666666667,330.5833333333333,9.879166666666666,19.591666666666665,112.625,66.29166666666667
2024-04-23,69.625,44.53333333333333,367.3333333333333,9.370833333333334,20.329166666666666,129.41666666666666,78.29166666666667
2024-04-24,54.479166666666664,34.104166666666664,307.4583333333333,6.645833333333333,11.737499999999999,109.29166666666667,71.41666666666667
2024-04-25,45.583333333333336,29.0125,338.2083333333333,8.870833333333334,11.845833333333333,113.875,65.45833333333333
2024-04-26,53.229166666666664,33.53333333333333,282.0416666666667,6.120833333333334,13.433333333333332,127.41666666666667,65.875
2024-04-27,70.37916666666666,45.28333333333333,302.75,7.8374999999999995,19.108333333333334,125.66666666666667,71.08333333333333
2024-04-28,77.74166666666666,51.0625,423.125,12.654166666666667,22.712500000000002,112.41666666666667,77.625
2024-04-29,86.26666666666667,57.42916666666667,483.875,12.533333333333333,23.837500000000002,117.41666666666667,85.20833333333333
2024-04-30,49.80416666666667,32.30416666666667,340.0833333333333,9.0,20.8125,109.875,79.79166666666667
2024-05-01,29.029166666666665,15.879166666666668,265.2916666666667,6.75,11.908333333333333,106.75,50.791666666666664
2024-05-02,37.725,21.6875,336.6666666666667,10.108333333333333,14.887500000000001,124.04166666666667,53.75
2024-05-03,55.916666666666664,31.2375,401.5833333333333,12.345833333333333,18.825,135.625,65.04166666666667
2024-05-04,61.35833333333333,37.675,471.7083333333333,13.191666666666668,23.120833333333334,144.04166666666666,70.91666666666667
2024-05-05,25.587500000000002,16.158333333333335,250.54166666666666,6.204166666666667,10.637500000000001,101.29166666666667,60.666666666666664
2024-05-06,18.454166666666666,11.9,234.58333333333334,7.158333333333334,10.108333333333333,87.0,37.916666666666664
2024-05-07,39.37916666666667,25.691666666666666,262.0,7.654166666666666,18.591666666666665,112.875,54.166666666666664
2024-05-08,51.73333333333333,32.262499999999996,290.9166666666667,6.604166666666667,19.454166666666666,138.125,66.75
2024-05-09,46.975,30.270833333333332,312.25,7.8,23.058333333333334,127.33333333333333,68.20833333333333
2024-05-10,48.78333333333333,30.616666666666664,349.125,11.354166666666666,22.633333333333336,120.16666666666667,64.45833333333333
2024-05-11,50.862500000000004,31.537499999999998,427.6666666666667,13.579166666666666,19.391666666666666,104.95833333333333,66.41666666666667
2024-05-12,65.53750000000001,37.454166666666666,429.7083333333333,12.333333333333334,25.0,128.16666666666666,68.54166666666667
2024-05-13,76.36666666666666,40.645833333333336,386.9166666666667,12.683333333333332,26.349999999999998,125.83333333333333,72.875
2024-05-14,56.50416666666666,31.633333333333336,327.7916666666667,7.154166666666666,16.379166666666666,141.375,71.58333333333333
2024-05-15,89.52083333333333,50.1875,350.5416666666667,8.083333333333334,21.974999999999998,145.33333333333334,73.5
2024-05-16,101.97083333333335,60.25416666666666,422.6666666666667,10.733333333333334,31.712500000000002,153.70833333333334,85.70833333333333
2024-05-17,59.987500000000004,36.800000000000004,267.25,10.4625,24.770833333333332,91.5,80.875
2024-05-18,28.758333333333336,18.545833333333334,213.25,8.908333333333333,28.34583333333333,122.91666666666667,57.291666666666664
2024-05-19,45.791666666666664,27.545833333333334,275.8333333333333,9.266666666666667,25.65416666666667,120.875,57.875
2024-05-20,62.37916666666666,34.19583333333333,297.0,7.920833333333333,20.479166666666668,127.20833333333333,66.08333333333333
2024-05-21,67.49583333333334,35.50833333333333,400.7083333333333,13.512500000000001,25.666666666666668,125.70833333333333,68.83333333333333
2024-05-22,92.32083333333333,46.59166666666667,459.9166666666667,13.862499999999999,26.38333333333333,135.08333333333334,72.625
2024-05-23,82.07083333333334,42.47083333333333,394.3333333333333,9.3375,18.033333333333335,140.66666666666666,79.20833333333333
2024-05-24,69.325,38.72083333333333,347.8333333333333,6.9624999999999995,17.454166666666666,143.75,75.04166666666667
2024-05-25,88.26666666666667,52.51666666666667,365.375,7.254166666666666,20.825,127.66666666666667,73.16666666666667
2024-05-26,73.4875,37.858333333333334,323.5,7.241666666666667,14.541666666666666,124.375,79.75
2024-05-27,40.270833333333336,21.295833333333334,224.58333333333334,5.2,11.0375,124.41666666666667,60.583333333333336
2024-05-28,42.40833333333333,20.504166666666666,198.91666666666666,5.258333333333334,12.2875,114.45833333333333,51.125
2024-05-29,49.57916666666667,23.270833333333332,222.70833333333334,7.208333333333333,12.745833333333332,97.79166666666667,55.375
2024-05-30,42.09166666666667,19.6375,192.29166666666666,5.708333333333333,11.995833333333332,102.41666666666667,54.333333333333336
2024-05-31,51.39166666666667,21.45,212.95833333333334,6.241666666666667,10.75,100.45833333333333,57.666666666666664
2024-06-01,46.975,21.995833333333334,232.20833333333334,7.104166666666667,10.979166666666666,97.04166666666667,56.458333333333336
2024-06-02,53.23333333333333,27.150000000000002,235.08333333333334,8.258333333333333,14.366666666666667,98.58333333333333,57.666666666666664
2024-06-03,58.96666666666667,33.85,250.04166666666666,6.804166666666667,15.424999999999999,105.25,65.08333333333333
2024-06-04,73.5,41.5875,325.3333333333333,12.745833333333332,18.395833333333332,85.20833333333333,69.0
2024-06-05,72.00416666666666,39.1875,274.5416666666667,9.65,19.179166666666667,111.79166666666667,72.66666666666667
2024-06-06,79.78750000000001,42.737500000000004,300.5416666666667,9.870833333333334,20.5625,108.95833333333333,72.95833333333333
2024-06-07,87.92083333333333,48.55833333333334,285.6666666666667,7.820833333333333,21.120833333333334,127.66666666666667,75.625
2024-06-08,87.675,50.1875,272.5833333333333,7.2875000000000005,21.583333333333332,131.79166666666666,80.41666666666667
2024-06-09,94.75,57.31666666666666,299.0416666666667,7.5874999999999995,24.099999999999998,138.125,83.33333333333333
2024-06-10,75.17083333333333,45.65833333333333,276.1666666666667,7.066666666666666,17.3625,116.70833333333333,82.41666666666667
2024-06-11,88.93333333333334,53.69166666666666,274.0,7.041666666666667,16.683333333333334,115.66666666666667,78.16666666666667
2024-06-12,85.44166666666666,48.19166666666666,259.4166666666667,7.704166666666667,17.912499999999998,113.54166666666667,81.20833333333333
2024-06-13,59.525,35.8125,231.66666666666666,7.270833333333333,16.929166666666667,103.375,74.0
2024-06-14,46.64166666666667,28.337500000000002,202.83333333333334,6.483333333333333,15.191666666666668,92.33333333333333,66.0
2024-06-15,45.333333333333336,28.4875,194.0,6.283333333333334,15.633333333333333,96.375,63.0
2024-06-16,59.62916666666666,40.03333333333333,237.29166666666666,11.875,29.433333333333334,90.375,64.29166666666667
2024-06-17,55.99583333333334,34.24166666666667,211.79166666666666,7.183333333333334,17.570833333333333,96.79166666666667,72.25
2024-06-18,42.3375,27.441666666666666,212.66666666666666,8.545833333333333,16.349999999999998,77.625,64.75
2024-06-19,36.229166666666664,23.679166666666664,215.95833333333334,8.520833333333334,16.566666666666666,72.125,60.625
2024-06-20,39.09166666666667,23.1875,225.79166666666666,11.145833333333334,15.583333333333334,58.125,47.333333333333336
2024-06-21,30.291666666666668,16.833333333333332,192.375,8.754166666666666,15.191666666666668,62.5,44.541666666666664
2024-06-22,40.90416666666666,25.483333333333334,239.66666666666666,11.145833333333334,17.724999999999998,64.25,41.958333333333336
2024-06-23,49.9375,34.225,243.83333333333334,11.120833333333332,28.370833333333334,98.54166666666667,64.70833333333333
2024-06-24,27.933333333333334,19.745833333333334,224.66666666666666,10.541666666666666,17.1375,73.20833333333333,58.666666666666664
2024-06-25,47.5875,29.7375,284.0833333333333,12.637500000000001,20.804166666666667,75.5,53.958333333333336
2024-06-26,37.295833333333334,24.683333333333334,227.83333333333334,9.291666666666666,19.666666666666668,72.33333333333333,62.958333333333336
2024-06-27,26.375,18.508333333333333,194.58333333333334,11.2875,23.379166666666666,61.833333333333336,47.541666666666664
2024-06-28,19.991666666666667,14.183333333333332,224.54166666666666,11.237499999999999,15.129166666666668,50.125,30.916666666666668
2024-06-29,34.69583333333333,19.537499999999998,228.83333333333334,10.870833333333332,14.316666666666668,52.041666666666664,32.875
2024-06-30,27.237499999999997,15.975,202.91666666666666,9.479166666666666,14.125,50.041666666666664,39.166666666666664
